content	flags
$LOADING	Wird geladen
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	:
$DECIMAL_POINT	,
$THOUSANDS_SEPARATOR	.
$PLAY	Spielen
$ENDLESS	Endlos
$MULTIPLAYER	Multiplayer
$CREDITS	Credits
$BACK	ZurÃ¼ck
$SELECT_PLAYERS	Spieler auswÃ¤hlen
$NUMBER_OF_PLAYERS	Anzahl der Spieler
$STAGES	Stufen
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 Plus
$G-SWITCH_3_PLUS_SHORT	G-Switch 3+
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	Custom 1
$CUSTOM_2	Custom 2
$CUSTOM_3	Custom 3
$SET	Einstellen
$NEVER-ENDING	Niemals endend
$NO_POWERUPS	Keine Powerups
$CLICK	Klicken
$MORE_OPTIONS	Mehr Optionen
$STAGE_OPTIONS	Stufenoptionen
$PLAY_AGAINST_COMPUTER	Spiel gegen Computer
$SELECT_LEVEL	Stufe auswÃ¤hlen
$STAGE_SELECTION	Stufenauswahl
$CONTINUE	Fortsetzen
$MAIN_MENU	HauptmenÃ¼
$GAME_PAUSED	Spiel pausiert
$SECRET_ORB_FOUND	Geheime Kugel gefunden
$CHARACTER_UNLOCKED	Neuer Charakter freigeschaltet!
$LAST_CHARACTER_UNLOCKED	Letzter Charakter freigeschaltet! Alle Kugeln gefunden!
$BEST_TIME	Beste<N>Zeit
$NONE_CAPS	KEINER
$START_OVER	Von vorn anfangen
$YES	Ja
$NO	Nein
$CANCEL	Abbrechen
$CONTINUE_QUESTION	Fortsetzen?
$CONTINUE_PREVIOUS_GAME_QUESTION	Vorheriges Spiel fortsetzen?
$CHOOSE_NEW_KEY	WÃ¤hlen Sie Neuer SchlÃ¼ssel
$PRESS_NEW_KEY	DrÃ¼cken Sie neue SchlÃ¼ssel ...
$KEY_ALREADY_IN_USE	â€ž<X>â€œ ist bereits im Einsatz.<N>Bitte eine andere Taste wÃ¤hlen.
$WINNER	Gewinner
$TIE_EXCLAMATION	Punktgleich!
$HAS_WON_THE_TOURNAMENT	hat das Turnier gewonnen!
$TWO_PLAYER_TIE	Zwei Spieler haben Gleichstand<N>fÃ¼r den ersten Platz!
$THREE_PLAYER_TIE	Drei Spieler haben Gleichstand<N>fÃ¼r den ersten Platz!
$FOUR_PLAYER_TIE	Vier Spieler haben Gleichstand<N>fÃ¼r den ersten Platz!
$FIVE_PLAYER_TIE	FÃ¼nf Spieler haben Gleichstand<N>fÃ¼r den ersten Platz!
$SIX_PLAYER_TIE	Sechs Spieler haben Gleichstand<N>fÃ¼r den ersten Platz!
