content	flag
$LOADING	Cargando
$PERIOD_PUNCTUATION	.
$COLON_PUNCTUATION	:
$DECIMAL_POINT	,
$THOUSANDS_SEPARATOR	 
$PLAY	Jugar
$ENDLESS	Interminable
$MULTIPLAYER	Multijugador
$CREDITS	CrÃ©ditos
$BACK	AtrÃ¡s
$SELECT_PLAYERS	Seleccionar jugadores
$NUMBER_OF_PLAYERS	NÃºmero de jugadores
$STAGES	Etapas
$G-SWITCH_3	G-Switch 3
$G-SWITCH_3_PLUS_LONG	G-Switch 3 Plus
$G-SWITCH_3_PLUS_SHORT	G-Switch 3+
$G-SWITCH_2	G-Switch 2
$G-SWITCH_1	G-Switch 1
$CUSTOM_1	Personalizada 1
$CUSTOM_2	Personalizada 2
$CUSTOM_3	Personalizada 3
$SET	Configurar
$NEVER-ENDING	Sin fin
$NO_POWERUPS	Sin potenciadores
$CLICK	Haz<N>clic
$MORE_OPTIONS	MÃ¡s opciones
$STAGE_OPTIONS	Opciones de la etapa
$PLAY_AGAINST_COMPUTER	Jugar contra la computadora
$SELECT_LEVEL	Selecciona el nivel
$STAGE_SELECTION	SelecciÃ³n de etapa
$CONTINUE	Continuar
$MAIN_MENU	MenÃº principal
$GAME_PAUSED	Juego en pausa
$SECRET_ORB_FOUND	Has encontrado un orbe secreta
$CHARACTER_UNLOCKED	Â¡Nuevo personaje desbloqueado!
$LAST_CHARACTER_UNLOCKED	Â¡Ãšltimo personaje desbloqueado! Â¡Has encontrado todos los orbes!
$BEST_TIME	Mejor<N>tiempo
$NONE_CAPS	NINGUNO
$START_OVER	Comenzar<N>de nuevo
$YES	SÃ­
$NO	No
$CANCEL	Cancelar
$CONTINUE_QUESTION	Â¿Continuar?
$CONTINUE_PREVIOUS_GAME_QUESTION	Â¿Continuar el juego anterior?
$CHOOSE_NEW_KEY	Elige una nueva tecla
$PRESS_NEW_KEY	Presiona la nueva tecla...
$KEY_ALREADY_IN_USE	â€œ<X>â€ ya estÃ¡ en uso.<N>Por favor, elige otra tecla.
$WINNER	Vencedor
$TIE_EXCLAMATION	Â¡Empate!
$HAS_WON_THE_TOURNAMENT	Â¡Ha       ganado el torneo!
$TWO_PLAYER_TIE	Â¡Dos jugadores han empatado<N>en el primer lugar!
$THREE_PLAYER_TIE	Â¡Tres jugadores han empatado<N>en el primer lugar!
